topic,link
Community Protection Notices & Public Spaces Protection Orders ,https://www.coventry.gov.uk/directory-record/48749/community-protection-notices-public-spaces-protection-orders-
Community Right to Bid.,https://www.coventry.gov.uk/directory-record/46583/community-right-to-bid-
Community Safety Partnership Plan(s),https://www.coventry.gov.uk/directory-record/47656/community-safety-partnership-plan-s-
Community sexual health services.,https://www.coventry.gov.uk/directory-record/45502/community-sexual-health-services-
Community Toilet Scheme,https://www.coventry.gov.uk/directory-record/45326/community-toilet-scheme
Community Transport for Older and Disabled People,https://www.coventry.gov.uk/directory-record/48116/community-transport-for-older-and-disabled-people
Community Transport Providers,https://www.coventry.gov.uk/directory-record/45582/community-transport-providers
Community Trigger,https://www.coventry.gov.uk/directory-record/58090/community-trigger
Community-Led-Housing,https://www.coventry.gov.uk/directory-record/57263/community-led-housing
Companies involved in the Leisure Centre,https://www.coventry.gov.uk/directory-record/43750/companies-involved-in-the-leisure-centre
Companies used to search next of kin,https://www.coventry.gov.uk/directory-record/47978/companies-used-to-search-next-of-kin
Companies with license to supply fireworks,https://www.coventry.gov.uk/directory-record/47779/companies-with-license-to-supply-fireworks
Company prosecuted and convicted of serving or offering for sale unsafe food.,https://www.coventry.gov.uk/directory-record/46463/company-prosecuted-and-convicted-of-serving-or-offering-for-sale-unsafe-food-
Company that identifies/traces the next of kin.,https://www.coventry.gov.uk/directory-record/44371/company-that-identifies-traces-the-next-of-kin-
Company vehicles.,https://www.coventry.gov.uk/directory-record/45503/company-vehicles-
Compensation claims for children at schools.,https://www.coventry.gov.uk/directory-record/44238/compensation-claims-for-children-at-schools-
Compensation Claims for Potholes,https://www.coventry.gov.uk/directory-record/47724/compensation-claims-for-potholes
Compensation claims for slips and falls.,https://www.coventry.gov.uk/directory-record/44370/compensation-claims-for-slips-and-falls-
Compensation claims from incidents in Schools.,https://www.coventry.gov.uk/directory-record/44556/compensation-claims-from-incidents-in-schools-
Compensation claims from staff and pupils in schools.,https://www.coventry.gov.uk/directory-record/46115/compensation-claims-from-staff-and-pupils-in-schools-
Compensation claims in schools: 20104682,https://www.coventry.gov.uk/directory-record/44961/compensation-claims-in-schools-20104682
Compensation claims in schools: 20106194,https://www.coventry.gov.uk/directory-record/44962/compensation-claims-in-schools-20106194
Compensation claims involving pot holes.,https://www.coventry.gov.uk/directory-record/44237/compensation-claims-involving-pot-holes-
Compensation claims on school premises.,https://www.coventry.gov.uk/directory-record/44881/compensation-claims-on-school-premises-
Compensation claims paid to teachers.,https://www.coventry.gov.uk/directory-record/43794/compensation-claims-paid-to-teachers-
Compensation claims regarding children injured at school,https://www.coventry.gov.uk/directory-record/47473/compensation-claims-regarding-children-injured-at-school
Compensation claims regarding the Fairfax Street Sports & Leisure Centre,https://www.coventry.gov.uk/directory-record/46464/compensation-claims-regarding-the-fairfax-street-sports-leisure-centre
Compensation claims relating to and maintenance of speed humps and pot holes.,https://www.coventry.gov.uk/directory-record/46116/compensation-claims-relating-to-and-maintenance-of-speed-humps-and-pot-holes-
Compensation claims to traffic wardens.,https://www.coventry.gov.uk/directory-record/44960/compensation-claims-to-traffic-wardens-
Compensation claims within schools.,https://www.coventry.gov.uk/directory-record/44651/compensation-claims-within-schools-
"Compensation claims, vehicles damaged by potholes",https://www.coventry.gov.uk/directory-record/46828/compensation-claims-vehicles-damaged-by-potholes
Compensation claims: 20107155,https://www.coventry.gov.uk/directory-record/44880/compensation-claims-20107155
Compensation Claims: REQ00451,https://www.coventry.gov.uk/directory-record/47273/compensation-claims-req00451
Compensation Claims: REQ00680,https://www.coventry.gov.uk/directory-record/47450/compensation-claims-req00680
Compensation due to poor road conditions,https://www.coventry.gov.uk/directory-record/46745/compensation-due-to-poor-road-conditions
Compensation for damages as a result of poor road conditions.,https://www.coventry.gov.uk/directory-record/44015/compensation-for-damages-as-a-result-of-poor-road-conditions-
Compensation for personal injuries,https://www.coventry.gov.uk/directory-record/48180/compensation-for-personal-injuries
Compensation for personal injuries paid to students,https://www.coventry.gov.uk/directory-record/45516/compensation-for-personal-injuries-paid-to-students
Compensation for student personal injuries.,https://www.coventry.gov.uk/directory-record/46117/compensation-for-student-personal-injuries-
Compensation for vehicles damaged by bin lorries.,https://www.coventry.gov.uk/directory-record/43788/compensation-for-vehicles-damaged-by-bin-lorries-
Compensation paid for historic abuse cases,https://www.coventry.gov.uk/directory-record/45694/compensation-paid-for-historic-abuse-cases
Compensation paid regarding potholes,https://www.coventry.gov.uk/directory-record/48534/compensation-paid-regarding-potholes
Compensation paid to Pupils/Parents: REQ02196,https://www.coventry.gov.uk/directory-record/48383/compensation-paid-to-pupils-parents-req02196
Compensation paid to Pupils/Parents: REQ02549,https://www.coventry.gov.uk/directory-record/48485/compensation-paid-to-pupils-parents-req02549
Compensation paid to students,https://www.coventry.gov.uk/directory-record/49125/compensation-paid-to-students
Compensation paid to students 2019/20,https://www.coventry.gov.uk/directory-record/48773/compensation-paid-to-students-2019-20
Compensation paid to teachers and students.,https://www.coventry.gov.uk/directory-record/43787/compensation-paid-to-teachers-and-students-
Compensation paid to teachers.,https://www.coventry.gov.uk/directory-record/45504/compensation-paid-to-teachers-
Compensation paid to Teaching Staff,https://www.coventry.gov.uk/directory-record/48346/compensation-paid-to-teaching-staff
Compensation payments to staff for work related incidents,https://www.coventry.gov.uk/directory-record/43364/compensation-payments-to-staff-for-work-related-incidents
Compensation regarding accidents in schools.,https://www.coventry.gov.uk/directory-record/45057/compensation-regarding-accidents-in-schools-
Compensation to children injured at school.,https://www.coventry.gov.uk/directory-record/44466/compensation-to-children-injured-at-school-
Compensation to teachers for injuries sustained at or outside schools.,https://www.coventry.gov.uk/directory-record/46584/compensation-to-teachers-for-injuries-sustained-at-or-outside-schools-
Compensation to teachers or teaching assistants,https://www.coventry.gov.uk/directory-record/57255/compensation-to-teachers-or-teaching-assistants
Compensation to teachers or teaching assistants,https://www.coventry.gov.uk/directory-record/47294/compensation-to-teachers-or-teaching-assistants
Complaint details regarding The Cottage.,https://www.coventry.gov.uk/directory-record/45959/complaint-details-regarding-the-cottage-
Complaint made to the Council,https://www.coventry.gov.uk/directory-record/43574/complaint-made-to-the-council
Complaints about buskers,https://www.coventry.gov.uk/directory-record/48406/complaints-about-buskers
Complaints about Councillors,https://www.coventry.gov.uk/directory-record/43501/complaints-about-councillors
Complaints about drains,https://www.coventry.gov.uk/directory-record/59074/complaints-about-drains
Complaints about factory odours,https://www.coventry.gov.uk/directory-record/48840/complaints-about-factory-odours
Complaints about filthy and verminous properties,https://www.coventry.gov.uk/directory-record/57259/complaints-about-filthy-and-verminous-properties
Complaints about letting agents illegally retaining deposits,https://www.coventry.gov.uk/directory-record/46465/complaints-about-letting-agents-illegally-retaining-deposits
Complaints about masks not worn in commercial sites,https://www.coventry.gov.uk/directory-record/48913/complaints-about-masks-not-worn-in-commercial-sites
Complaints about overcrowding in multiple occupancy properties.,https://www.coventry.gov.uk/directory-record/46298/complaints-about-overcrowding-in-multiple-occupancy-properties-
Complaints about parking in Dorchester Way (North).,https://www.coventry.gov.uk/directory-record/46385/complaints-about-parking-in-dorchester-way-north-
Complaints about roads,https://www.coventry.gov.uk/directory-record/45302/complaints-about-roads
Complaints about street lights ,https://www.coventry.gov.uk/directory-record/57283/complaints-about-street-lights-
Complaints about Waste Collections,https://www.coventry.gov.uk/directory-record/48158/complaints-about-waste-collections
Complaints against Children's Services,https://www.coventry.gov.uk/directory-record/43762/complaints-against-children-s-services
Complaints against councillors,https://www.coventry.gov.uk/directory-record/43363/complaints-against-councillors
Complaints against landlords,https://www.coventry.gov.uk/directory-record/47681/complaints-against-landlords
Complaints against private landlords,https://www.coventry.gov.uk/directory-record/46754/complaints-against-private-landlords
Complaints against staff who work at Looked After Children Homes.,https://www.coventry.gov.uk/directory-record/44236/complaints-against-staff-who-work-at-looked-after-children-homes-
Complaints and allegations made in places of worship,https://www.coventry.gov.uk/directory-record/48150/complaints-and-allegations-made-in-places-of-worship
Complaints by Council tenants,https://www.coventry.gov.uk/directory-record/49060/complaints-by-council-tenants
Complaints in relation to non-motor vehicles parked on the public highway.,https://www.coventry.gov.uk/directory-record/44742/complaints-in-relation-to-non-motor-vehicles-parked-on-the-public-highway-
Complaints Made Against Social Workers,https://www.coventry.gov.uk/directory-record/47044/complaints-made-against-social-workers
Complaints made against taxi drivers.,https://www.coventry.gov.uk/directory-record/43588/complaints-made-against-taxi-drivers-
Complaints made by employees,https://www.coventry.gov.uk/directory-record/45141/complaints-made-by-employees
Complaints made to the Council.,https://www.coventry.gov.uk/directory-record/43456/complaints-made-to-the-council-
Complaints monitoring system,https://www.coventry.gov.uk/directory-record/48612/complaints-monitoring-system
Complaints Procedure,https://www.coventry.gov.uk/directory-record/47925/complaints-procedure
"Complaints re noise, light and ASB pollution",https://www.coventry.gov.uk/directory-record/43770/complaints-re-noise-light-and-asb-pollution
Complaints received for Cosmetic Teeth Whitening Products Ltd.,https://www.coventry.gov.uk/directory-record/46466/complaints-received-for-cosmetic-teeth-whitening-products-ltd-
Complaints received regarding Dog Control Orders,https://www.coventry.gov.uk/directory-record/45997/complaints-received-regarding-dog-control-orders
Complaints received.,https://www.coventry.gov.uk/directory-record/45140/complaints-received-
Complaints regarding 443 Foleshill Road.,https://www.coventry.gov.uk/directory-record/46585/complaints-regarding-443-foleshill-road-
Complaints regarding alleged noise problems at The Cottage.,https://www.coventry.gov.uk/directory-record/46586/complaints-regarding-alleged-noise-problems-at-the-cottage-
Complaints regarding Children's Social Care Reports,https://www.coventry.gov.uk/directory-record/47533/complaints-regarding-children-s-social-care-reports
Complaints regarding fireworks,https://www.coventry.gov.uk/directory-record/44859/complaints-regarding-fireworks
Complaints regarding landlords,https://www.coventry.gov.uk/directory-record/48963/complaints-regarding-landlords
Complaints regarding landlords,https://www.coventry.gov.uk/directory-record/49027/complaints-regarding-landlords
Complaints regarding lost adoption files,https://www.coventry.gov.uk/directory-record/49036/complaints-regarding-lost-adoption-files
Complaints regarding odours,https://www.coventry.gov.uk/directory-record/57435/complaints-regarding-odours
Complaints Regarding Public Toilets,https://www.coventry.gov.uk/directory-record/57352/complaints-regarding-public-toilets
Complaints regarding refuse lorries in Grenville Avenue.,https://www.coventry.gov.uk/directory-record/46587/complaints-regarding-refuse-lorries-in-grenville-avenue-
Complaints regarding road conditions.,https://www.coventry.gov.uk/directory-record/46118/complaints-regarding-road-conditions-
Complaints relating to Christmas lights or decorations,https://www.coventry.gov.uk/directory-record/48892/complaints-relating-to-christmas-lights-or-decorations
Complaints to Tenancy Relations Officer,https://www.coventry.gov.uk/directory-record/47682/complaints-to-tenancy-relations-officer
"Complaints, accidents for Sofology (Sofaworks)",https://www.coventry.gov.uk/directory-record/48182/complaints-accidents-for-sofology-sofaworks-
Completion Notices on Commercial Properties 2020,https://www.coventry.gov.uk/directory-record/48860/completion-notices-on-commercial-properties-2020
Completion of University Hospital Traffic Scheme,https://www.coventry.gov.uk/directory-record/47815/completion-of-university-hospital-traffic-scheme
Compliance of energy certificates,https://www.coventry.gov.uk/directory-record/45595/compliance-of-energy-certificates
Compost and woodchippings,https://www.coventry.gov.uk/directory-record/57236/compost-and-woodchippings
Compromise agreements - teachers,https://www.coventry.gov.uk/directory-record/44650/compromise-agreements-teachers
Compromise agreements: 20100043,https://www.coventry.gov.uk/directory-record/45055/compromise-agreements-20100043
Compromise agreements: 20101140,https://www.coventry.gov.uk/directory-record/45056/compromise-agreements-20101140
Compromise agreements: 20118661,https://www.coventry.gov.uk/directory-record/44465/compromise-agreements-20118661
Compromise agreements: 20122046,https://www.coventry.gov.uk/directory-record/44369/compromise-agreements-20122046
Compromise Agreements: REQ00788,https://www.coventry.gov.uk/directory-record/47645/compromise-agreements-req00788
Compromise agreements: REQ05012,https://www.coventry.gov.uk/directory-record/45688/compromise-agreements-req05012
Compulsory Acquired Properties,https://www.coventry.gov.uk/directory-record/48442/compulsory-acquired-properties
Compulsory Purchase Order Information.,https://www.coventry.gov.uk/directory-record/46588/compulsory-purchase-order-information-
Compulsory purchase orders,https://www.coventry.gov.uk/directory-record/44131/compulsory-purchase-orders
Compulsory Purchase Orders,https://www.coventry.gov.uk/directory-record/43786/compulsory-purchase-orders
Compulsory Purchase Orders,https://www.coventry.gov.uk/directory-record/46119/compulsory-purchase-orders
Compulsory Purchase Orders ,https://www.coventry.gov.uk/directory-record/49186/compulsory-purchase-orders-
Computers and consumables.,https://www.coventry.gov.uk/directory-record/45438/computers-and-consumables-
Computers and Printing of E-mails,https://www.coventry.gov.uk/directory-record/46228/computers-and-printing-of-e-mails
Computers on Council Network,https://www.coventry.gov.uk/directory-record/45254/computers-on-council-network
Con29 Enquiries of the Local Authority,https://www.coventry.gov.uk/directory-record/48219/con29-enquiries-of-the-local-authority
Con29R and Con29O forms.,https://www.coventry.gov.uk/directory-record/43575/con29r-and-con29o-forms-
Concerns raised about location of Traveller sites,https://www.coventry.gov.uk/directory-record/57765/concerns-raised-about-location-of-traveller-sites
Concerns regarding persons travelling to Syria,https://www.coventry.gov.uk/directory-record/45942/concerns-regarding-persons-travelling-to-syria
Concessionary Transport Services,https://www.coventry.gov.uk/directory-record/47602/concessionary-transport-services
Conditions of paving/slabs.,https://www.coventry.gov.uk/directory-record/46120/conditions-of-paving-slabs-
Confederation of British Industry and its subsidiaries.,https://www.coventry.gov.uk/directory-record/46467/confederation-of-british-industry-and-its-subsidiaries-
Confederation of British Industry Payments,https://www.coventry.gov.uk/directory-record/47187/confederation-of-british-industry-payments
Confidential waste contract,https://www.coventry.gov.uk/directory-record/49056/confidential-waste-contract
Confirmation of the business rates payer at 24 Bayley Lane.,https://www.coventry.gov.uk/directory-record/46468/confirmation-of-the-business-rates-payer-at-24-bayley-lane-
Confiscation orders regarding travellers.,https://www.coventry.gov.uk/directory-record/45992/confiscation-orders-regarding-travellers-
Confucius Classroom,https://www.coventry.gov.uk/directory-record/45906/confucius-classroom
Congleton Close Residents Parking,https://www.coventry.gov.uk/directory-record/47871/congleton-close-residents-parking
Connecting Coventry initiative,https://www.coventry.gov.uk/directory-record/48695/connecting-coventry-initiative
Connections managed by the communications centre.,https://www.coventry.gov.uk/directory-record/44235/connections-managed-by-the-communications-centre-
Consequential Provisions Regulations and Housing Benefit reductions,https://www.coventry.gov.uk/directory-record/44130/consequential-provisions-regulations-and-housing-benefit-reductions
Conservation Area Advisory Panel,https://www.coventry.gov.uk/directory-record/45755/conservation-area-advisory-panel
Conserved Plant Species,https://www.coventry.gov.uk/directory-record/48407/conserved-plant-species
Constituent Communication Software,https://www.coventry.gov.uk/directory-record/45538/constituent-communication-software
Construction and Building,https://www.coventry.gov.uk/directory-record/47342/construction-and-building
"Construction at Antrim Close, Allesley contractors",https://www.coventry.gov.uk/directory-record/44014/construction-at-antrim-close-allesley-contractors
Construction contracts over 200k,https://www.coventry.gov.uk/directory-record/44741/construction-contracts-over-200k
Construction contracts over £200k.,https://www.coventry.gov.uk/directory-record/46589/construction-contracts-over-200k-
Construction of footway crossing,https://www.coventry.gov.uk/directory-record/45139/construction-of-footway-crossing
Construction of the Superlab Facility,https://www.coventry.gov.uk/directory-record/47329/construction-of-the-superlab-facility
"Construction or alterations a road, subway, underpass, flyover, footbridge, elevated road or dual carriageway.",https://www.coventry.gov.uk/directory-record/44013/construction-or-alterations-a-road-subway-underpass-flyover-footbridge-elevated-road-or-dual-carriageway-
Construction Procurement Activities,https://www.coventry.gov.uk/directory-record/47835/construction-procurement-activities
Consultancy Expenditure,https://www.coventry.gov.uk/directory-record/48259/consultancy-expenditure
Consultancy services,https://www.coventry.gov.uk/directory-record/44649/consultancy-services
Consultation within the Council,https://www.coventry.gov.uk/directory-record/45439/consultation-within-the-council
Consultations for gate at Coundon Hall Park,https://www.coventry.gov.uk/directory-record/49051/consultations-for-gate-at-coundon-hall-park
Consultations for the Rainbow Crossing,https://www.coventry.gov.uk/directory-record/49018/consultations-for-the-rainbow-crossing
Contact Centre/Call Centre Inbound Network Contracts,https://www.coventry.gov.uk/directory-record/47048/contact-centre-call-centre-inbound-network-contracts
Contact centres for supervised contact.,https://www.coventry.gov.uk/directory-record/45432/contact-centres-for-supervised-contact-
Contact details Children's and adults social services.,https://www.coventry.gov.uk/directory-record/44957/contact-details-children-s-and-adults-social-services-
Contact details for Directors/Heads of Services,https://www.coventry.gov.uk/directory-record/43730/contact-details-for-directors-heads-of-services
Contact details for Extra Care services.,https://www.coventry.gov.uk/directory-record/44555/contact-details-for-extra-care-services-
"Contact details for Leisure, Procurement & Marketing",https://www.coventry.gov.uk/directory-record/48046/contact-details-for-leisure-procurement-marketing
Contact Details for Manager of Children Leaving Care Service,https://www.coventry.gov.uk/directory-record/47603/contact-details-for-manager-of-children-leaving-care-service
Contact details for Members.,https://www.coventry.gov.uk/directory-record/45985/contact-details-for-members-
Contact Details for Staff in Adults and Children's Social Care,https://www.coventry.gov.uk/directory-record/47996/contact-details-for-staff-in-adults-and-children-s-social-care
Contact details for staff in Corporate Servcies and Adults and Children's Social Care,https://www.coventry.gov.uk/directory-record/47991/contact-details-for-staff-in-corporate-servcies-and-adults-and-children-s-social-care
Contact Details for Troubled Families Project,https://www.coventry.gov.uk/directory-record/46988/contact-details-for-troubled-families-project
Contact for Child Sufficiency Assessment,https://www.coventry.gov.uk/directory-record/48800/contact-for-child-sufficiency-assessment
Contact information for social care.,https://www.coventry.gov.uk/directory-record/44740/contact-information-for-social-care-
Contact names for senior officers,https://www.coventry.gov.uk/directory-record/45519/contact-names-for-senior-officers
Contacts made to children's social services.,https://www.coventry.gov.uk/directory-record/44012/contacts-made-to-children-s-social-services-
Contaminated land,https://www.coventry.gov.uk/directory-record/58447/contaminated-land
Contaminated Land and Landfill,https://www.coventry.gov.uk/directory-record/46967/contaminated-land-and-landfill
Contaminated Land Areas,https://www.coventry.gov.uk/directory-record/48204/contaminated-land-areas
Contaminated Land Check / EIR Search: REQ00160,https://www.coventry.gov.uk/directory-record/47074/contaminated-land-check-eir-search-req00160
Contaminated Land Check / EIR Search: REQ00461,https://www.coventry.gov.uk/directory-record/47363/contaminated-land-check-eir-search-req00461
Contaminated Land Check / EIR Search: REQ00705,https://www.coventry.gov.uk/directory-record/47504/contaminated-land-check-eir-search-req00705
Contaminated Land Check/EIR Search: 20124074,https://www.coventry.gov.uk/directory-record/47059/contaminated-land-check-eir-search-20124074
Contaminated Land Check: 20123225,https://www.coventry.gov.uk/directory-record/45915/contaminated-land-check-20123225
Contaminated Land Check: 20123227,https://www.coventry.gov.uk/directory-record/45882/contaminated-land-check-20123227
Contaminated Land Check: 20123288,https://www.coventry.gov.uk/directory-record/45883/contaminated-land-check-20123288
Contaminated land check: 20123327,https://www.coventry.gov.uk/directory-record/45936/contaminated-land-check-20123327
Contaminated Land Check: 20123341,https://www.coventry.gov.uk/directory-record/45884/contaminated-land-check-20123341
Contaminated Land Check: 20123361,https://www.coventry.gov.uk/directory-record/45916/contaminated-land-check-20123361
Contaminated Land Check: 20123370,https://www.coventry.gov.uk/directory-record/45917/contaminated-land-check-20123370
Contaminated Land Check: 20123438,https://www.coventry.gov.uk/directory-record/45918/contaminated-land-check-20123438
Contaminated Land Check: 20123519,https://www.coventry.gov.uk/directory-record/45920/contaminated-land-check-20123519
Contaminated Land Check: 20123570,https://www.coventry.gov.uk/directory-record/45891/contaminated-land-check-20123570
Contaminated Land Check: 20123578,https://www.coventry.gov.uk/directory-record/45921/contaminated-land-check-20123578
Contaminated Land Check: 20123583,https://www.coventry.gov.uk/directory-record/47003/contaminated-land-check-20123583
Contaminated Land Enquiry 32 Orion Crescent,https://www.coventry.gov.uk/directory-record/48042/contaminated-land-enquiry-32-orion-crescent
Contaminated Land Enquiry 74 Durbar Avenue,https://www.coventry.gov.uk/directory-record/47898/contaminated-land-enquiry-74-durbar-avenue
"Contaminated Land Enquiry: 23 Parkside, CV1 2NE",https://www.coventry.gov.uk/directory-record/47611/contaminated-land-enquiry-23-parkside-cv1-2ne
Contaminated Land Enquiry: 5 St Agatha's Road,https://www.coventry.gov.uk/directory-record/47525/contaminated-land-enquiry-5-st-agatha-s-road
"Contaminated Land Enquiry: Alan Higgs Centre, Allard Way, CV3 1HW",https://www.coventry.gov.uk/directory-record/47550/contaminated-land-enquiry-alan-higgs-centre-allard-way-cv3-1hw
"Contaminated Land Enquiry: Morrisons Supermarket, 351 Holbrook Lane, CV6 4DG",https://www.coventry.gov.uk/directory-record/47519/contaminated-land-enquiry-morrisons-supermarket-351-holbrook-lane-cv6-4dg
"Contaminated Land Enquiry: Tenpin & Pizza Hut Site, CV2 2SH",https://www.coventry.gov.uk/directory-record/47784/contaminated-land-enquiry-tenpin-pizza-hut-site-cv2-2sh
Contaminated Land Enquiry: Westwood Heath Road,https://www.coventry.gov.uk/directory-record/47398/contaminated-land-enquiry-westwood-heath-road
"Contaminated land query - Sovereign, Chelmarsh CV6 3LB ",https://www.coventry.gov.uk/directory-record/48480/contaminated-land-query-sovereign-chelmarsh-cv6-3lb-
Contaminated Land Register,https://www.coventry.gov.uk/directory-record/47530/contaminated-land-register
Contaminated Land Request,https://www.coventry.gov.uk/directory-record/47078/contaminated-land-request
"Contaminated Land Search - Land at Siskin Parkway West, Middlemarch Business Rates, Coventry",https://www.coventry.gov.uk/directory-record/47552/contaminated-land-search-land-at-siskin-parkway-west-middlemarch-business-rates-coventry
Contaminated Land Search: Edgwick Park,https://www.coventry.gov.uk/directory-record/47733/contaminated-land-search-edgwick-park
Contaminated Land Search: Godiva Place,https://www.coventry.gov.uk/directory-record/47782/contaminated-land-search-godiva-place
Contaminated Land Status: REQ01471,https://www.coventry.gov.uk/directory-record/48207/contaminated-land-status-req01471
Contaminated Land Status: REQ01476,https://www.coventry.gov.uk/directory-record/48230/contaminated-land-status-req01476
Contamination status of Sherbourne House,https://www.coventry.gov.uk/directory-record/48133/contamination-status-of-sherbourne-house
Content Filtering Software,https://www.coventry.gov.uk/directory-record/43663/content-filtering-software
Content services (document management) solutions,https://www.coventry.gov.uk/directory-record/48774/content-services-document-management-solutions
Continence care.,https://www.coventry.gov.uk/directory-record/44234/continence-care-
Continental puppy trade,https://www.coventry.gov.uk/directory-record/48990/continental-puppy-trade
Continual NHS health care funding.,https://www.coventry.gov.uk/directory-record/44554/continual-nhs-health-care-funding-
Contraceptive services and policies.,https://www.coventry.gov.uk/directory-record/44553/contraceptive-services-and-policies-
Contract agency labour within Children's Services and Adults Services.,https://www.coventry.gov.uk/directory-record/43587/contract-agency-labour-within-children-s-services-and-adults-services-
Contract for Dry recyclate,https://www.coventry.gov.uk/directory-record/46706/contract-for-dry-recyclate
Contract for Dry Recyclate,https://www.coventry.gov.uk/directory-record/46856/contract-for-dry-recyclate
Contract for IT Disposal,https://www.coventry.gov.uk/directory-record/46896/contract-for-it-disposal
Contract for maintenance of all trees.,https://www.coventry.gov.uk/directory-record/44552/contract-for-maintenance-of-all-trees-
Contract for supervised or supported contacts for children in care.,https://www.coventry.gov.uk/directory-record/44368/contract-for-supervised-or-supported-contacts-for-children-in-care-
Contract for the service of lift and access equipment.,https://www.coventry.gov.uk/directory-record/46469/contract-for-the-service-of-lift-and-access-equipment-
Contract Hours,https://www.coventry.gov.uk/directory-record/47337/contract-hours
Contract information for insurance services.,https://www.coventry.gov.uk/directory-record/43784/contract-information-for-insurance-services-
Contract information for landline and mobile telephones.,https://www.coventry.gov.uk/directory-record/44010/contract-information-for-landline-and-mobile-telephones-
Contract information relating to the following corporate software/applications,https://www.coventry.gov.uk/directory-record/47239/contract-information-relating-to-the-following-corporate-software-applications
Contract Management System.,https://www.coventry.gov.uk/directory-record/44127/contract-management-system-
Contract provision of Taxi Services.,https://www.coventry.gov.uk/directory-record/44232/contract-provision-of-taxi-services-
Contract to tender - swimming facilities,https://www.coventry.gov.uk/directory-record/46737/contract-to-tender-swimming-facilities
Contract with Tommy Wilson Funfairs,https://www.coventry.gov.uk/directory-record/45801/contract-with-tommy-wilson-funfairs
Contract(s) for Server Hardware Maintenance and Server Virtualisation,https://www.coventry.gov.uk/directory-record/45138/contract-s-for-server-hardware-maintenance-and-server-virtualisation
"Contract, spend & product details on telecom services.",https://www.coventry.gov.uk/directory-record/45137/contract-spend-product-details-on-telecom-services-
Contractor for verge maintenance,https://www.coventry.gov.uk/directory-record/44332/contractor-for-verge-maintenance
Contractors and Sub-Contractors,https://www.coventry.gov.uk/directory-record/46792/contractors-and-sub-contractors
Contractors working for the council on a self-employed basis.,https://www.coventry.gov.uk/directory-record/46590/contractors-working-for-the-council-on-a-self-employed-basis-
Contracts - Software Systems,https://www.coventry.gov.uk/directory-record/43913/contracts-software-systems
Contracts and Monitoring reports for care homes.,https://www.coventry.gov.uk/directory-record/44551/contracts-and-monitoring-reports-for-care-homes-
Contracts around health and social care,https://www.coventry.gov.uk/directory-record/48006/contracts-around-health-and-social-care
Contracts awarded in excess of £1m,https://www.coventry.gov.uk/directory-record/48094/contracts-awarded-in-excess-of-1m
Contracts awarded to Glendale (Parkwood) and Capita.,https://www.coventry.gov.uk/directory-record/44464/contracts-awarded-to-glendale-parkwood-and-capita-
Contracts for adult domiciliary care.,https://www.coventry.gov.uk/directory-record/45505/contracts-for-adult-domiciliary-care-
Contracts in the commercial waste department,https://www.coventry.gov.uk/directory-record/44367/contracts-in-the-commercial-waste-department
Contracts information,https://www.coventry.gov.uk/directory-record/43744/contracts-information
Contracts on behalf of the coroner.,https://www.coventry.gov.uk/directory-record/46121/contracts-on-behalf-of-the-coroner-
Contracts relating to construction and architecture.,https://www.coventry.gov.uk/directory-record/45136/contracts-relating-to-construction-and-architecture-
Contracts with Glendale,https://www.coventry.gov.uk/directory-record/46904/contracts-with-glendale
"Contracts, tender & expenditure for Children's Homes",https://www.coventry.gov.uk/directory-record/48045/contracts-tender-expenditure-for-children-s-homes
Contracts/Agreements for Gas and Electricity.,https://www.coventry.gov.uk/directory-record/43586/contracts-agreements-for-gas-and-electricity-
Contracts/Procurement,https://www.coventry.gov.uk/directory-record/47107/contracts-procurement
Contracts: REQ00589,https://www.coventry.gov.uk/directory-record/47423/contracts-req00589
Contracts: REQ00805,https://www.coventry.gov.uk/directory-record/47745/contracts-req00805
Contracts:REQ00582,https://www.coventry.gov.uk/directory-record/46685/contracts-req00582
Conversation between residents and council employees.,https://www.coventry.gov.uk/directory-record/44739/conversation-between-residents-and-council-employees-
Conversations regarding proposed new large sporting stadia.,https://www.coventry.gov.uk/directory-record/45843/conversations-regarding-proposed-new-large-sporting-stadia-
Conversion amount for Woodlands.,https://www.coventry.gov.uk/directory-record/44738/conversion-amount-for-woodlands-
Convictions for illegal sale of knives,https://www.coventry.gov.uk/directory-record/47985/convictions-for-illegal-sale-of-knives
Cooling Towers,https://www.coventry.gov.uk/directory-record/44648/cooling-towers
Coombe Abbey Hotel,https://www.coventry.gov.uk/directory-record/43503/coombe-abbey-hotel
Coombe Abbey Hotel - Staff & Councillor Discount,https://www.coventry.gov.uk/directory-record/48700/coombe-abbey-hotel-staff-councillor-discount
Coombe Abbey Public Right of Way,https://www.coventry.gov.uk/directory-record/57348/coombe-abbey-public-right-of-way
COP 26 coverage,https://www.coventry.gov.uk/directory-record/57240/cop-26-coverage
Copy of an underlease,https://www.coventry.gov.uk/directory-record/47893/copy-of-an-underlease
Coronavirus Act: Decisions around Care Act easements,https://www.coventry.gov.uk/directory-record/48746/coronavirus-act-decisions-around-care-act-easements
Coronavirus cases amongst school staff,https://www.coventry.gov.uk/directory-record/48982/coronavirus-cases-amongst-school-staff
Coronavirus cash grants for clothing retailers,https://www.coventry.gov.uk/directory-record/48756/coronavirus-cash-grants-for-clothing-retailers
Coronavirus grant schemes,https://www.coventry.gov.uk/directory-record/49047/coronavirus-grant-schemes
